Index,Species,Magnorder,Superorder ,Order,Family,65 species Dataset,228 Species Dataset,Average Per Aln Missingness Post Filtering for Sliding Windows analysis
213,Rhinolophus_sinicus,Boreoeutheria,Laurasiatheria,Chiroptera,Rhinolophidae,TRUE,TRUE,18.7
214,Eptesicus fuscus,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,32.4
215,Lasiurus borealis,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,35.5
216,Miniopterus natalensis,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,25.8
217,Miniopterus schreibersii,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,25.3
218,Murina feae,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,31.7
219,Myotis brandtii,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,31.3
220,Myotis davidii,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,31.7
221,Myotis lucifugus,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,TRUE,33.4
222,Myotis_myotis,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,TRUE,TRUE,30.5
223,Pipistrellus pipistrellus,Boreoeutheria,Laurasiatheria,Chiroptera,Vespertilionidae,FALSE,FALSE,
224,Erinaceus_europaeus,Boreoeutheria,Laurasiatheria,Eulipotyphla,Erinaceidae,TRUE,TRUE,53.5
225,Solenodon_paradoxus,Boreoeutheria,Laurasiatheria,Eulipotyphla,Solenodontidae,TRUE,TRUE,19.6
226,Crocidura indochinensis,Boreoeutheria,Laurasiatheria,Eulipotyphla,Soricidae,FALSE,FALSE,
227,Sorex_araneus,Boreoeutheria,Laurasiatheria,Eulipotyphla,Soricidae,TRUE,TRUE,52.7
228,Condylura_cristata,Boreoeutheria,Laurasiatheria,Eulipotyphla,Talpidae,TRUE,TRUE,
229,Scalopus aquaticus,Boreoeutheria,Laurasiatheria,Eulipotyphla,Talpidae,FALSE,TRUE,32.0
230,Uropsilus gracilis,Boreoeutheria,Laurasiatheria,Eulipotyphla,Talpidae,FALSE,TRUE,33.6
231,Equus asinus,Boreoeutheria,Laurasiatheria,Perissodactyla,Equidae,FALSE,TRUE,5.9
232,Equus_caballus,Boreoeutheria,Laurasiatheria,Perissodactyla,Equidae,TRUE,TRUE,6.8
233,Equus przewalskii,Boreoeutheria,Laurasiatheria,Perissodactyla,Equidae,FALSE,TRUE,7.1
234,Ceratotherium_simum,Boreoeutheria,Laurasiatheria,Perissodactyla,Rhinocerotidae,TRUE,TRUE,5.5
235,Ceratotherium simum cottoni,Boreoeutheria,Laurasiatheria,Perissodactyla,Rhinocerotidae,FALSE,TRUE,5.5
236,Dicerorhinus sumatrensis,Boreoeutheria,Laurasiatheria,Perissodactyla,Rhinocerotidae,FALSE,TRUE,5.3
